The Fairly OddParents;SHOW;10;2001;24;[scifi, family, fantasy, animation, comedy];10;7.2;38046
Jackass: The Movie;MOVIE;9;2002;88;[action, comedy, documentation];0;6.6;92305
Sonic X;SHOW;12;2003;21;[action, drama, thriller, animation, comedy, fantasy, family, scifi];3;6.1;4577
DEATH NOTE;SHOW;4;2006;24;[scifi, animation, crime, drama, fantasy, thriller];1;0.9;302147
Zoolander;MOVIE;1;2001;90;[comedy, european];0;6.5;260975
The Vampire Diaries;SHOW;5;2009;42;[scifi, drama, thriller, fantasy, horror, romance];8;7.7;310776
Charlie and the Chocolate Factory;MOVIE;7;2005;106;[fantasy, comedy, family];0;6.6;465995
Cleaner;MOVIE;1;2007;88;[thriller, crime];0;6.1;41052
Harold & Kumar Go to White Castle;MOVIE;12;2004;88;[comedy];0;0.7;193053
The Social Network;MOVIE;9;2010;121;[drama];0;7.8;681286
Road to Perdition;MOVIE;8;2002;117;[thriller, documentation, crime, drama];0;7.7;263212
Naruto;SHOW;12;2002;23;[scifi, comedy, animation, action, fantasy, thriller];6;8.4;93980
Blow;MOVIE;9;2001;124;[drama, crime];0;7.5;255099
Shooter;MOVIE;12;2007;124;[thriller, action, drama];0;7.2;329417
Big Fish;MOVIE;2;2003;125;[drama, fantasy, romance];0;0.8;435503
The Bourne Ultimatum;MOVIE;3;2007;115;[thriller, action];0;0.8;627009
Public Enemies;MOVIE;4;2009;143;[crime, drama, history, action, european];0;0.7;297525
Americas Next Top Model;SHOW;1;2003;44;[reality];24;5.6;17843
Sherlock Holmes;MOVIE;11;2009;129;[crime, action, thriller];0;7.6;620154
Love Actually;MOVIE;2;2003;139;[drama, comedy, romance];0;7.6;474176
Closer;MOVIE;10;2004;94;[drama, romance];0;7.2;215678
Chappelles Show;SHOW;3;2003;21;[comedy, music];3;8.8;62140
Somethings Gotta Give;MOVIE;2;2003;128;[romance, drama, comedy];0;6.7;120400
Grown Ups;MOVIE;4;2010;102;[comedy, drama, european];0;5.9;247229
The Blind Side;MOVIE;5;2009;129;[drama, sport];0;7.6;323939
Quantum of Solace;MOVIE;7;2008;106;[thriller, action];0;6.6;441023
The Ring;MOVIE;9;2002;111;[horror, european];0;7.1;341888
Trailer Park Boys;SHOW;9;2001;25;[comedy, crime];12;8.6;41791
Into the Wild;MOVIE;9;2007;140;[drama];0;8.1;611379
True Grit;MOVIE;1;2010;110;[western, drama];0;7.6;333378
Blade Runner: The Final Cut;MOVIE;12;2007;117;[action, thriller, scifi];0;0;0
Rambo;MOVIE;5;2008;92;[thriller, action, war, european];0;0.7;228799
Stardust;MOVIE;4;2007;122;[fantasy, romance, family];0;7.6;269043
Borgen;SHOW;3;2010;58;[drama, european];4;8.5;23523
The Last Samurai;MOVIE;8;2003;154;[drama, history, war, action];0;7.8;429097
iCarly;SHOW;1;2007;26;[comedy, family, romance];6;6.7;38281
Victorious;SHOW;4;2010;25;[comedy, drama, family, music, romance, sport];4;6.9;24224
The Book of Eli;MOVIE;6;2010;118;[thriller, action, drama, european];0;6.8;312538
Identity;MOVIE;12;2003;90;[thriller];0;7.3;240433
Merlin;SHOW;6;2008;44;[action, scifi, drama, fantasy, european];5;7.9;80138
Apocalypse Now Redux;MOVIE;11;2001;196;[drama, war, thriller, horror];0;0;0
Shrek Forever After;MOVIE;2;2010;93;[fantasy, comedy, family, romance, animation];0;6.3;200354
Hairspray;MOVIE;12;2007;117;[comedy, drama, romance];0;6.7;128190
Corpse Bride;MOVIE;12;2005;77;[fantasy, romance, animation, drama, family];0;7.3;265023
Let Me In;MOVIE;5;2010;116;[horror, drama, fantasy, thriller, european];0;7.1;120208
Monster;MOVIE;10;2003;110;[crime, drama, thriller, european];0;7.3;149218
Without a Paddle;MOVIE;3;2004;95;[thriller, comedy];0;5.8;47049
Once Upon a Time in Mexico;MOVIE;7;2003;102;[drama, action, crime, thriller];0;6.3;160449
Cloudy with a Chance of Meatballs;MOVIE;8;2009;90;[animation, drama, romance, comedy, family, fantasy, scifi];0;6.9;226225
Offspring;SHOW;1;2010;44;[drama, comedy];7;8.3;4764
Blade II;MOVIE;4;2002;117;[thriller, fantasy, scifi, action, horror];0;6.7;214461
Chloe;MOVIE;10;2009;99;[thriller, drama, romance, european];0;6.3;72916
Blood Diamond;MOVIE;6;2006;143;[thriller, drama];0;0.8;536858
The Lake House;MOVIE;6;2006;105;[drama, fantasy, romance, documentation];0;6.8;148043
Terminator 3: Rise of the Machines;MOVIE;1;2003;109;[thriller, scifi, action, european];0;6.3;393998
Beerfest;MOVIE;1;2006;110;[comedy];0;6.2;67748
Heist;MOVIE;8;2001;107;[thriller, drama, action, crime, european];0;6.5;36361
Catch and Release;MOVIE;7;2006;111;[romance, comedy, drama];0;5.9;26157
Just Like Heaven;MOVIE;10;2005;95;[drama, romance, fantasy, comedy];0;6.7;106755
Gurren Lagann;SHOW;10;2007;24;[scifi, action, comedy, drama, animation];1;8.3;17024
Four Brothers;MOVIE;1;2005;109;[crime, action, drama, thriller];0;6.8;144656
John Q;MOVIE;5;2002;116;[drama, thriller, crime];0;0.7;131999
Not Another Teen Movie;MOVIE;12;2001;89;[comedy];0;5.7;104604
21;MOVIE;12;2008;123;[drama, crime, history, thriller];0;6.8;247039
Code Geass: Lelouch of the Rebellion;SHOW;9;2006;24;[scifi, animation, action, drama, thriller, war];3;8.7;62367
Terminator Salvation;MOVIE;10;2009;110;[thriller, scifi, fantasy, war, action];0;6.5;357557
Deck the Halls;MOVIE;8;2006;93;[comedy, family];0;0.5;27797
The Girl Next Door;MOVIE;1;2007;91;[thriller, drama, crime, horror];0;6.5;26035
The Cat in the Hat;MOVIE;2;2003;81;[fantasy, comedy, family];0;0.4;81971
Jackass 2.5;MOVIE;2;2007;64;[documentation, comedy];0;0;0
Final Destination 3;MOVIE;8;2006;93;[horror, thriller, action, crime, fantasy, european];0;5.8;139797
Thir13en Ghosts;MOVIE;10;2001;91;[thriller, horror, fantasy];0;5.6;86492
The One;MOVIE;11;2001;87;[scifi, thriller, action];0;5.9;91584
Happy Feet;MOVIE;5;2006;108;[comedy, fantasy, animation, family, music, romance];0;6.4;182612
Ip Man;MOVIE;5;2008;108;[drama, fantasy, action, history];0;0.8;221095
Coach Carter;MOVIE;8;2005;130;[drama, sport, european];0;7.3;143670
Blade: Trinity;MOVIE;9;2004;106;[action, thriller, fantasy, horror, scifi];0;5.8;175210
Monster-in-Law;MOVIE;12;2005;101;[romance, comedy];0;5.5;60693
Halloween;MOVIE;9;2007;109;[horror];0;0.6;118815
How Do You Know;MOVIE;6;2010;121;[drama, comedy, romance];0;5.4;49599
The Sweetest Thing;MOVIE;1;2002;84;[comedy, romance];0;5.1;58516
